,AMM,AMO,NAO,Nino_1_2,Nino_3,Nino_4,Nino3_4,PNA,SOI,TNA,TSA,IOD,PDO
1/1/1960,0.26,0.167,-2.01,-0.33,-0.34,-0.7,-0.28,-0.16,0.2,-0.07,-0.33,-0.236,0.3
2/1/1960,1.65,0.207,-2.59,-0.42,-0.47,-0.75,-0.46,-0.22,0.2,0.18,-0.41,-0.043,0.52
3/1/1960,1.44,0.079,-0.93,-0.25,-0.33,-0.57,-0.3,-0.69,1.7,0.2,-0.09,-0.433,-0.21
4/1/1960,2,0.088,1.33,-1.11,-0.43,-0.62,-0.33,-0.07,1.3,0.13,-0.22,-0.745,0.09
5/1/1960,2.44,0.293,0.47,-1.09,-0.54,-0.5,-0.25,0.99,0.9,0.27,0.01,-0.738,0.91
6/1/1960,2.54,0.31,0.1,-1.41,-0.75,-0.64,-0.49,1.2,0.2,0.1,-0.23,-0.681,0.64
7/1/1960,1.65,0.261,0.38,-1.32,-0.59,-0.75,-0.41,1.11,0.8,0.08,0.08,-0.734,-0.27
8/1/1960,1.08,0.326,-1.93,-1.02,-0.33,-0.72,-0.15,1.85,1.3,0.05,-0.02,-0.584,-0.38
9/1/1960,0.52,0.201,0.53,-0.27,-0.34,-0.71,-0.28,-0.01,1.1,-0.05,-0.05,-0.582,-0.94
10/1/1960,0.17,0.287,-1.37,-0.91,-0.87,-0.6,-0.49,0.48,0.2,-0.01,-0.1,-0.906,0.09
11/1/1960,0.25,0.241,-0.67,-0.6,-0.95,-0.38,-0.45,-0.52,0.9,0.1,0.01,-0.811,-0.23
12/1/1960,-0.29,0.128,-0.03,-0.29,-0.66,-0.13,-0.38,1.15,1.3,-0.02,0,-0.641,0.17
1/1/1961,-0.16,0.051,-0.03,-0.08,-0.55,-0.35,-0.31,1.16,-0.4,-0.04,0,-0.144,1.18
2/1/1961,-0.33,0.071,0.07,0.45,-0.21,-0.41,-0.19,0.17,1.5,-0.07,-0.12,-0.08,0.43
3/1/1961,0.41,0.139,0.17,-0.73,-0.39,-0.53,-0.35,0.28,-3,0.02,-0.02,-0.122,0.09
4/1/1961,1.79,0.217,-1.83,-0.78,-0.27,-0.72,-0.46,-1.14,1.3,0.17,-0.1,-0.612,0.34
5/1/1961,2.11,0.184,-0.28,-0.92,-0.27,-0.64,-0.18,-0.25,0.5,0.2,0.03,-0.438,-0.06
6/1/1961,0.74,0.023,1.17,-0.98,-0.32,-0.51,-0.06,1.84,0.2,-0.04,-0.1,-0.006,-0.61
7/1/1961,1.15,-0.029,-0.36,-1.53,-0.97,-0.71,-0.41,-0.52,0.4,0,-0.21,0.63,-1.22
8/1/1961,1.27,0.026,1.03,-1.14,-1.03,-0.87,-0.67,0.47,0.2,0.09,-0.19,0.776,-1.13
9/1/1961,0.18,-0.007,1.36,-1.14,-1.38,-0.7,-0.94,1.1,0.1,-0.05,0.03,0.554,-2.01
10/1/1961,-0.54,0.019,1.07,-1.05,-1.29,-0.93,-1.01,-1.94,-0.5,-0.13,-0.02,0.457,-2.28
11/1/1961,-0.21,0.057,-0.79,-0.67,-0.82,-0.61,-0.63,-0.4,0.9,-0.06,-0.06,0.323,-1.85
12/1/1961,1.51,0.203,-1.46,-0.88,-0.64,-0.54,-0.63,-1.54,2.5,0.27,-0.12,0.311,-2.69
1/1/1962,1.96,0.139,0.2,-0.74,-0.57,-0.66,-0.59,-0.74,3.3,0.22,-0.08,0.512,-1.29
2/1/1962,1.96,0.142,0.18,-0.73,-0.44,-0.66,-0.57,-0.54,-0.5,0.12,-0.16,0.544,-1.15
3/1/1962,3.26,0.155,-2.99,-2.13,-0.74,-0.56,-0.48,-0.71,0.2,0.41,-0.11,0.356,-1.42
4/1/1962,3.15,0.077,0.93,-2.38,-1.12,-0.59,-0.69,-1.5,0.3,0.26,-0.01,-0.019,-0.8
5/1/1962,2.82,0.013,-0.04,-1.51,-1.08,-0.8,-0.89,-1.11,1.8,0.36,0.18,-0.385,-1.22
6/1/1962,1.3,-0.081,0.47,-1.35,-0.95,-0.59,-0.65,-0.97,1.2,0.06,0.08,-0.458,-1.62
7/1/1962,2.44,-0.018,-2.43,-1.32,-0.76,-0.77,-0.53,-0.36,0.1,0.26,-0.09,-0.468,-1.46
8/1/1962,1.56,-0.073,0.05,-0.77,-0.47,-0.81,-0.53,0.57,1,0.19,-0.03,-0.303,-0.48
9/1/1962,0.98,-0.006,-0.21,-0.74,-0.79,-0.85,-0.78,-0.83,0.7,0.09,-0.08,-0.186,-1.58
10/1/1962,0.41,0.055,0.96,-1.17,-0.84,-0.82,-0.75,1.33,1.6,0.08,0.03,-0.327,-1.55
11/1/1962,1.42,0.036,-0.38,-0.87,-1.12,-0.8,-0.95,0.53,0.5,0.3,0.01,-0.213,-0.37
12/1/1962,2.91,0.18,-1.31,-1.09,-1.15,-0.8,-0.93,-0.38,0.3,0.51,-0.19,-0.071,-0.96
