# OMI_550   ANU_550    MEAN_MOD_500
5.9749e-01   1.1624e+00   3.1908e-01
7.9665e-01   1.3840e+00   3.1423e-01
5.9749e-01   1.2131e+00   2.7945e-01
nan   1.2133e+00   2.9912e-01
6.9707e-01   1.5329e+00   2.6969e-01
nan   1.4110e+00   2.7357e-01
nan   9.8670e-01   2.2460e-01
8.9623e-01   1.3414e+00   2.3863e-01
4.9791e-01   1.0434e+00   2.1068e-01
3.9833e-01   9.9175e-01   2.5392e-01
3.9833e-01   8.3319e-01   2.4090e-01
3.9833e-01   9.2420e-01   2.4215e-01
nan   7.8837e-01   2.3944e-01
3.9833e-01   9.3883e-01   2.4840e-01
nan   1.1535e+00   2.5615e-01
3.9833e-01   1.2928e+00   2.4950e-01
7.9665e-01   1.0790e+00   2.4463e-01
nan   8.9782e-01   2.2605e-01
nan   9.1212e-01   2.4802e-01
nan   9.2428e-01   2.2891e-01
5.9749e-01   8.7448e-01   2.5807e-01
nan   9.7676e-01   2.4899e-01
3.9833e-01   8.8035e-01   2.4450e-01
1.1950e+00   1.3984e+00   2.8213e-01
2.3900e+00   nan   3.1000e-01
1.0954e+00   1.7252e+00   4.2162e-01
1.3941e+00   2.3948e+00   4.0238e-01
1.3941e+00   2.3602e+00   4.0336e-01
nan   2.2933e+00   4.0882e-01
8.9623e-01   2.2989e+00   3.9619e-01
nan   2.2909e+00   4.4576e-01
1.0954e+00   2.0454e+00   4.2979e-01
1.2946e+00   1.9930e+00   3.9424e-01
1.4937e+00   2.1954e+00   3.7999e-01
1.3941e+00   2.0277e+00   3.8168e-01
nan   2.3184e+00   4.0449e-01
9.9582e-01   1.9205e+00   4.1566e-01
nan   1.6296e+00   4.2519e-01
1.4937e+00   1.7950e+00   5.1742e-01
1.7925e+00   2.0457e+00   5.2946e-01
8.9623e-01   1.3363e+00   4.0752e-01
8.9623e-01   1.3020e+00   3.9533e-01
7.9665e-01   1.1998e+00   4.0693e-01
9.9582e-01   nan   3.7696e-01
nan   nan   3.5110e-01
7.9665e-01   1.3619e+00   3.3390e-01
nan   nan   3.6406e-01
8.9623e-01   1.2008e+00   3.3930e-01
8.9623e-01   1.0041e+00   4.3756e-01
3.9833e-01   8.5319e-01   4.3823e-01
3.9833e-01   7.0412e-01   3.9540e-01
4.9791e-01   7.7929e-01   3.5543e-01
9.9582e-01   1.1103e+00   3.1811e-01
nan   1.0615e+00   2.5101e-01
nan   1.0237e+00   2.9276e-01
1.2946e+00   1.3140e+00   2.7257e-01
1.7925e+00   1.4083e+00   2.9163e-01
1.2946e+00   1.2951e+00   3.2825e-01
1.3941e+00   1.3306e+00   2.6702e-01
nan   1.1057e+00   2.5938e-01
nan   8.3782e-01   2.5238e-01
3.9833e-01   6.3346e-01   2.2482e-01
nan   6.9482e-01   2.5763e-01
6.9707e-01   6.6619e-01   2.1391e-01
8.9623e-01   8.7180e-01   2.7135e-01
nan   7.1491e-01   3.1106e-01
9.9582e-01   nan   3.2578e-01
nan   5.1539e-01   3.6029e-01
4.9791e-01   7.7506e-01   2.3279e-01
nan   5.5161e-01   2.6669e-01
nan   3.9702e-01   2.4887e-01
nan   3.4993e-01   2.9565e-01
nan   nan   2.6846e-01
nan   9.7074e-02   3.2309e-01
1.9916e-01   3.1401e-01   2.7707e-01
nan   6.4211e-01   2.8200e-01
nan   nan   3.4600e-01
nan   4.5907e-01   2.6696e-01
nan   4.3603e-01   3.5555e-01
8.9623e-01   3.9053e-01   3.3147e-01
nan   3.7781e-01   2.9534e-01
3.9833e-01   5.3665e-01   3.0676e-01
5.9749e-01   3.0754e-01   2.7247e-01
nan   3.0507e-01   3.0176e-01
nan   3.2441e-01   2.6463e-01
nan   3.0571e-01   2.8367e-01
nan   4.0254e-01   2.8108e-01
6.9707e-01   6.2306e-01   2.8152e-01
nan   nan   2.4276e-01
nan   8.3419e-01   2.2912e-01
9.9582e-01   1.2468e+00   2.3601e-01
nan   nan   2.5492e-01
nan   6.5981e-01   2.4763e-01
nan   6.9120e-01   2.2867e-01
nan   7.3414e-01   2.7925e-01
nan   5.4315e-01   2.5065e-01
7.9665e-01   4.5423e-01   2.6696e-01
nan   2.3391e-01   2.8554e-01
3.9833e-01   2.6353e-01   2.7011e-01
nan   2.3848e-01   2.6443e-01
1.9916e-01   2.8526e-01   2.3544e-01
nan   4.5188e-01   2.5153e-01
nan   4.6612e-01   2.3666e-01
9.9582e-01   4.0474e-01   2.4062e-01
6.9707e-01   nan   2.2983e-01
nan   5.7448e-01   2.5678e-01
5.9749e-01   4.9171e-01   2.2623e-01
nan   3.4750e-01   2.6061e-01
nan   3.2678e-01   2.5546e-01
1.9916e-01   2.6999e-01   2.4665e-01
nan   2.9579e-01   2.1130e-01
3.9833e-01   3.3863e-01   2.5552e-01
6.9707e-01   2.7690e-01   2.5969e-01
2.9874e-01   3.0315e-01   2.5069e-01
3.9833e-01   3.0673e-01   2.4023e-01
2.9874e-01   3.5151e-01   2.3865e-01
nan   3.5588e-01   2.3726e-01
nan   4.7690e-01   2.2123e-01
nan   2.4611e-01   2.0391e-01
3.9833e-01   4.3790e-01   2.1402e-01
7.9665e-01   4.3201e-01   2.1854e-01
6.9707e-01   5.1858e-01   2.1352e-01
5.9749e-01   4.5478e-01   1.9145e-01
nan   nan   2.1581e-01
nan   2.6422e-01   2.2567e-01
nan   3.2618e-01   2.4744e-01
nan   3.3988e-01   2.4324e-01
nan   3.5869e-01   2.1186e-01
nan   2.6813e-01   2.3006e-01
nan   4.6687e-01   2.4366e-01
nan   4.6072e-01   2.4036e-01
nan   nan   2.1772e-01
nan   3.5558e-01   2.3601e-01
nan   nan   2.3188e-01
nan   3.0769e-01   2.5144e-01
nan   2.1094e-01   2.3207e-01
nan   1.0814e-01   2.3522e-01
nan   3.6627e-01   2.4460e-01
nan   2.0319e-01   2.3170e-01
nan   2.8847e-01   2.2605e-01
nan   4.9863e-01   2.4399e-01
nan   nan   2.5266e-01
nan   nan   3.0249e-01
nan   nan   2.9027e-01
nan   4.1630e-01   2.6880e-01
nan   4.3437e-01   2.2637e-01
nan   nan   2.3430e-01
nan   nan   1.9936e-01
nan   nan   2.1433e-01
nan   2.0371e-01   2.2228e-01
nan   1.5635e-01   2.0889e-01
nan   1.7932e-01   1.9989e-01
nan   1.7895e-01   1.9581e-01
nan   nan   2.0432e-01
nan   3.1571e-01   2.0303e-01
nan   3.3017e-01   1.9774e-01
nan   3.6572e-01   1.8589e-01
nan   nan   2.0719e-01
nan   nan   1.9401e-01
nan   nan   1.9241e-01
nan   nan   2.5061e-01
nan   nan   2.3070e-01
nan   nan   2.2043e-01
nan   nan   2.6062e-01
nan   1.5060e-01   3.0165e-01
nan   2.6982e-01   2.6824e-01
nan   nan   2.7069e-01
nan   nan   2.7008e-01
nan   4.6099e-01   3.3807e-01
2.9874e-01   nan   2.7747e-01
nan   nan   2.5716e-01
nan   3.9906e-01   2.3614e-01
nan   2.5857e-01   2.1143e-01
nan   3.2147e-01   2.5774e-01
nan   nan   2.7008e-01
nan   nan   2.9310e-01
nan   5.5074e-01   2.4008e-01
nan   3.7517e-01   2.6721e-01
nan   4.6922e-01   2.3232e-01
nan   nan   2.4250e-01
nan   nan   2.6419e-01
nan   3.0898e-01   2.1781e-01
nan   3.2831e-01   2.4082e-01
nan   nan   2.2605e-01
nan   3.3089e-01   2.2584e-01
nan   5.4987e-01   2.1002e-01
nan   3.2605e-01   2.4574e-01
nan   nan   1.9777e-01
9.9582e-01   nan   1.8729e-01
nan   nan   1.6599e-01
nan   4.6115e-01   1.8067e-01
nan   3.6468e-01   1.7219e-01
nan   8.7557e-01   1.9297e-01
nan   nan   1.8873e-01
nan   nan   2.0736e-01
nan   nan   1.8600e-01
nan   nan   2.0951e-01
nan   7.3058e-01   1.9621e-01
nan   6.1855e-01   2.0791e-01
nan   nan   1.9145e-01
nan   6.1032e-01   2.2097e-01
nan   nan   2.0530e-01
nan   nan   1.7900e-01
nan   nan   1.6462e-01
nan   nan   1.8524e-01
nan   nan   1.8780e-01
nan   nan   1.7451e-01
nan   1.9360e-01   2.1255e-01
nan   nan   2.2236e-01
nan   3.5502e-01   2.0681e-01
nan   nan   2.2560e-01
nan   nan   2.0602e-01
nan   nan   2.1086e-01
nan   nan   1.9519e-01
nan   nan   2.0068e-01
nan   nan   2.0090e-01
nan   nan   1.9585e-01
nan   nan   1.9892e-01
nan   nan   1.6310e-01
nan   nan   1.9263e-01
nan   nan   1.6276e-01
nan   nan   1.7800e-01
nan   nan   2.0201e-01
nan   nan   2.1519e-01
nan   6.1193e-01   2.0802e-01
nan   nan   2.1899e-01
nan   nan   2.2608e-01
nan   7.4657e-01   2.1743e-01
nan   nan   2.4091e-01
nan   nan   2.2788e-01
nan   nan   1.7338e-01
nan   nan   1.6184e-01
nan   6.0802e-01   1.7243e-01
nan   2.4602e-01   1.7084e-01
nan   nan   1.6966e-01
nan   4.0604e-01   1.4902e-01
nan   nan   1.7464e-01
nan   nan   1.8461e-01
nan   nan   1.8457e-01
nan   4.6422e-01   1.8773e-01
nan   nan   1.9260e-01
nan   3.1530e-01   1.6751e-01
nan   2.3200e-01   1.9508e-01
nan   nan   1.9771e-01
nan   nan   1.8990e-01
nan   3.7549e-01   1.6738e-01
nan   3.7758e-01   1.8112e-01
nan   nan   2.0361e-01
nan   nan   1.9613e-01
nan   2.2989e-01   1.9784e-01
nan   1.6743e-01   2.0258e-01
nan   nan   1.9092e-01
nan   nan   1.7181e-01
nan   nan   1.9430e-01
nan   nan   2.0277e-01
nan   2.0246e-01   1.7220e-01
nan   2.2132e-01   1.6917e-01
nan   2.1230e-01   1.5557e-01
nan   1.6106e-01   1.7721e-01
nan   2.0827e-01   1.8196e-01
nan   2.0440e-01   1.7224e-01
nan   4.3900e-01   1.9282e-01
nan   nan   1.6713e-01
nan   3.1423e-01   1.8270e-01
nan   3.8835e-01   1.8856e-01
4.9791e-01   2.1904e-01   1.9594e-01
nan   nan   1.9278e-01
nan   nan   2.1386e-01
nan   1.5934e-01   1.8795e-01
nan   1.7147e-01   2.1720e-01
nan   2.4243e-01   1.9730e-01
nan   2.7114e-01   1.7752e-01
nan   nan   1.5597e-01
nan   nan   1.6466e-01
nan   nan   1.8381e-01
nan   4.0749e-01   1.6995e-01
nan   3.9915e-01   1.7656e-01
nan   3.9006e-01   1.8779e-01
nan   8.8429e-01   1.8762e-01
nan   nan   1.7407e-01
nan   nan   1.7675e-01
2.9874e-01   nan   1.8437e-01
1.9916e-01   3.0178e-01   2.1285e-01
2.9874e-01   nan   2.0178e-01
1.9916e-01   1.5086e-01   2.1391e-01
nan   2.8808e-01   1.8569e-01
nan   3.1204e-01   1.8094e-01
nan   2.7348e-01   1.7660e-01
nan   3.6170e-01   1.6284e-01
nan   2.3135e-01   1.6732e-01
nan   1.7059e-01   2.0649e-01
nan   3.3524e-01   2.0997e-01
nan   4.4972e-01   1.8908e-01
nan   2.6154e-01   2.2509e-01
nan   3.4964e-01   1.9610e-01
nan   2.3455e-01   1.8988e-01
nan   3.1624e-01   2.0042e-01
6.9707e-01   3.6009e-01   2.1079e-01
nan   3.9048e-01   2.0920e-01
4.9791e-01   5.2399e-01   2.2996e-01
4.9791e-01   3.9937e-01   2.4754e-01
2.9874e-01   3.6117e-01   2.2030e-01
nan   3.4613e-01   2.3813e-01
nan   2.1718e-01   2.3691e-01
nan   3.7652e-01   2.7102e-01
1.9916e-01   3.9619e-01   2.3058e-01
3.9833e-01   3.0982e-01   2.6689e-01
nan   4.3870e-01   2.4700e-01
nan   4.9375e-01   2.2507e-01
nan   8.0032e-01   2.0869e-01
nan   7.1100e-01   1.7570e-01
nan   7.3880e-01   2.1604e-01
nan   6.7171e-01   2.1676e-01
2.9874e-01   3.5280e-01   2.5927e-01
4.9791e-01   4.4074e-01   2.3121e-01
3.9833e-01   3.7047e-01   2.5377e-01
2.9874e-01   4.7146e-01   2.3364e-01
nan   4.7561e-01   2.2588e-01
nan   5.5391e-01   2.5135e-01
nan   5.6483e-01   2.2148e-01
nan   7.3021e-01   2.1719e-01
nan   6.4661e-01   2.1903e-01
1.9916e-01   7.1106e-01   2.3541e-01
4.9791e-01   7.2770e-01   2.3217e-01
4.9791e-01   4.9708e-01   1.9900e-01
nan   nan   2.2005e-01
3.9833e-01   nan   2.2088e-01
nan   nan   2.3151e-01
nan   nan   2.4945e-01
7.9665e-01   nan   2.4212e-01
5.9749e-01   nan   2.0920e-01
4.9791e-01   nan   2.2339e-01
nan   nan   2.2667e-01
3.9833e-01   nan   2.3143e-01
nan   nan   2.1757e-01
nan   nan   2.0796e-01
nan   nan   2.3724e-01
nan   nan   2.4644e-01
7.9665e-01   nan   2.1827e-01
6.9707e-01   nan   2.0220e-01
4.9791e-01   nan   2.2949e-01
nan   nan   2.4196e-01
5.9749e-01   nan   2.3317e-01
nan   nan   2.3679e-01
1.1950e+00   nan   2.4920e-01
7.9665e-01   nan   2.7074e-01
3.9833e-01   nan   2.8444e-01
nan   nan   2.7271e-01
nan   nan   2.4971e-01
1.1950e+00   nan   2.8558e-01
nan   nan   2.9164e-01
7.9665e-01   nan   3.6529e-01
