session_id,network_packet_size,protocol_type,login_attempts,session_duration,encryption_used,ip_reputation_score,failed_logins,browser_type,unusual_time_access,attack_detected
SID_00001,599,TCP,4,492.9832634426563,DES,0.606818080396889,1,Edge,0,1
SID_00002,472,TCP,3,1557.9964611204384,DES,0.30156896759608937,0,Firefox,0,0
SID_00003,629,TCP,3,75.04426166420741,DES,0.7391643279163831,2,Chrome,0,1
SID_00004,804,UDP,4,601.2488351708328,DES,0.12326717575248465,0,Unknown,0,1
SID_00005,453,TCP,5,532.5408884201419,AES,0.05487385674317035,1,Firefox,0,0
SID_00006,453,UDP,5,380.4715502453134,AES,0.4224858607066699,2,Chrome,1,0
SID_00007,815,ICMP,4,728.1071646972356,AES,0.4137719285892984,1,Chrome,0,1
SID_00008,653,TCP,3,12.5999060098958,DES,0.09771936585769499,3,Chrome,1,1
SID_00009,406,TCP,2,542.5588952208974,None,0.2945796876500889,0,Chrome,1,0
SID_00010,608,UDP,6,531.9441066211396,None,0.4241165641663546,1,Chrome,0,0
SID_00011,407,UDP,6,580.7219253670751,DES,0.12289373890646282,3,Firefox,0,1
SID_00012,406,UDP,9,191.0528369326706,DES,0.33971127134338935,1,Edge,0,1
SID_00013,548,TCP,2,186.14763834150762,None,0.4068986326067099,2,Safari,1,0
SID_00014,117,TCP,4,833.4889649491395,DES,0.4732919047923998,2,Unknown,0,1
SID_00015,155,TCP,3,77.84995157439054,None,0.3524755745227921,3,Chrome,0,1
SID_00016,387,ICMP,6,292.1361960073892,DES,0.25491245113627936,3,Chrome,0,1
SID_00017,297,TCP,8,1421.4143717610361,AES,0.345367552273892,3,Firefox,0,1
SID_00018,562,UDP,1,87.64100168835026,None,0.13672918975796927,2,Firefox,0,0
SID_00019,318,TCP,5,504.98866997657433,AES,0.3942314568896387,1,Unknown,0,1
SID_00020,217,ICMP,2,883.6175678484254,DES,0.3101131570512104,0,Chrome,0,0
SID_00021,793,TCP,3,122.1894142089281,AES,0.36932464932808645,2,Firefox,0,0
SID_00022,454,TCP,1,299.71154797427783,None,0.37387459160573533,1,Chrome,0,0
